NCAA Men's Basketball,,,,
Division IFewest Fouls,,,,
Through Games 03/08/2017,,,,
Rank,Name,GM,W-L,Fouls
1,Yale,27,17-10,431
2,Princeton,27,21-6,438
3,SMU,31,27-4,447
4,Villanova,31,28-3,454
5,UCF,30,20-10,460
6,UNI,30,14-16,464
7,Notre Dame,31,23-8,468
8,St. Mary's (CA),32,28-4,472
9,Michigan,31,20-11,474
10,Western Ky.,32,15-17,475
11,Iowa St.,30,20-10,479
12,Miami (FL),31,21-10,481
13,Penn,27,13-14,484
14,Purdue,31,25-6,485
15,Cincinnati,31,27-4,486
16,Louisiana Tech,31,22-9,487
17,Clemson,32,17-15,489
,George Washington,31,18-13,489
19,Dartmouth,27,20-Jul,494
,Southern California,31,23-8,494
,Oregon,31,27-4,494
22,Belmont,28,22-6,498
,Texas A&M,30,16-14,498
24,UCLA,31,28-3,499
,Virginia,31,22-9,499
26,Wisconsin,31,23-8,500
,Utah,30,20-10,500
28,North Dakota St.,30,19-11,501
29,UC Santa Barbara,28,22-Jun,502
,Washington St.,31,13-18,502
31,Creighton,31,23-8,503
32,Columbia,27,16-Nov,506
,New Hampshire,32,20-12,506
34,Virginia Tech,31,22-9,507
35,UAB,32,17-15,508
36,Weber St.,29,17-12,509
37,UConn,30,14-16,510
38,New Orleans,29,18-11,511
39,Harvard,27,18-9,512
40,East Carolina,31,14-17,514
,Syracuse,32,18-14,514
,Arizona,31,27-4,514
43,Lafayette,30,21-Sep,515
44,Holy Cross,32,15-17,516
45,Saint Peter's,32,19-13,517
46,Memphis,31,19-12,519
,Presbyterian,30,25-May,519
48,Ohio,29,19-10,520
,George Mason,31,19-12,520
50,Saint Francis (PA),32,16-16,521
51,Nevada,31,25-6,522
,Northeastern,31,15-16,522
53,Minnesota,31,23-8,523
54,Vermont,33,28-5,524
,Providence,31,20-11,524
56,Georgia Tech,32,17-15,525
57,Alabama A&M,29,27-Feb,526
,Vanderbilt,31,17-14,526
59,Southern Miss.,31,22-Sep,527
60,Cornell,29,21-Aug,529
61,Pepperdine,31,22-Sep,531
,UNC Asheville,32,23-9,531
63,Elon,32,18-14,532
64,UC Riverside,27,20-Jul,535
,Oral Roberts,30,22-Aug,535
66,USC Upstate,32,17-15,537
67,San Diego St.,31,18-13,538
68,Lehigh,32,20-12,539
,UNLV,32,21-Nov,539
70,Texas St.,30,18-12,540
,Central Conn. St.,29,23-Jun,540
,High Point,31,15-16,540
,Longwood,30,24-Jun,540
,Davidson,29,15-14,540
,La Salle,29,15-14,540
76,Colorado St.,31,21-10,541
77,Arizona St.,32,15-17,542
78,Gonzaga,33,32-1,543
79,Seattle U,29,13-16,544
80,Binghamton,32,20-Dec,545
,Loyola Chicago,32,18-14,545
,Baylor,31,25-6,545
,Hofstra,32,15-17,545
84,Tulsa,30,14-16,546
,Western Ill.,28,20-Aug,546
86,Sacramento St.,30,13-17,547
,Old Dominion,30,19-11,547
,Austin Peay,30,19-Nov,547
,Hawaii,29,14-15,547
,Mercer,32,15-17,547
91,Toledo,32,17-15,549
,American,30,22-Aug,549
93,Fairfield,30,16-14,550
,Saint Joseph's,31,20-Nov,550
,Radford,32,14-18,550
96,N.C. Cent,31,23-8,551
,Pittsburgh,33,16-17,551
98,Utah St.,29,13-16,552
99,Cal Poly,30,19-Nov,554
100,Kansas St.,31,19-12,555
101,South Fla.,29,22-Jul,556
,Iowa,31,18-13,556
103,TCU,32,18-14,557
,Oakland,32,24-8,557
,Texas Southern,32,21-11,557
,New Mexico St.,30,25-5,557
107,Middle Tenn.,31,27-4,558
108,Fort Wayne,31,19-12,559
,La.-Monroe,32,23-Sep,559
110,Temple,31,16-15,561
,Eastern Ill.,29,14-15,561
,Houston Baptist,29,17-12,561
,Texas Tech,32,18-14,561
114,Maine,32,25-Jul,562
,Seton Hall,30,20-10,562
,Richmond,30,19-11,562
,Ohio St.,32,17-15,562
118,Kansas,31,28-3,563
,Northern Colo.,29,18-Nov,563
120,Houston,30,21-9,564
121,Akron,31,24-7,565
,Rutgers,32,15-17,565
,Drake,31,24-Jul,565
,Utah Valley,29,14-15,565
,Dayton,30,24-6,565
126,North Carolina,32,26-6,566
,William & Mary,31,17-14,566
128,Youngstown St.,34,13-21,567
,South Dakota St.,34,18-16,567
130,Illinois,31,18-13,568
,North Texas,30,22-Aug,568
,A&M-Corpus Christi,29,19-10,568
,Northwestern St.,29,13-16,568
,San Jose St.,29,14-15,568
135,Portland St.,30,15-15,569
,Florida A&M,30,23-Jul,569
,Butler,30,23-7,569
138,Texas,32,21-Nov,570
,Chattanooga,31,19-12,570
,Fla. Atlantic,30,20-Oct,570
141,Savannah St.,29,13-16,571
,UTEP,30,14-16,571
143,Furman,32,21-11,572
